Title,Address,Latitude,Longitude,Original_URL
Blink Eye Care Phoenix,"6040 N 7th St #300, Phoenix, AZ 85014, United States",33.5252234,-112.0651544,https://www.google.com/maps/place/Blink+Eye+Care+Phoenix/data=!4m2!3m1!1s0x872b133c653758a1:0x296bcca2235dab81
Arcadia Eye Care,"7509 E 1st St, Scottsdale, AZ 85251, United States",33.4920129,-111.9192489,https://www.google.com/maps/place/Arcadia+Eye+Care/data=!4m2!3m1!1s0x872b0cf0f2456d03:0x8382ea528e65e075
Optical Expressions,"6137 N Scottsdale Rd #113, Scottsdale, AZ 85250, United States",33.52645,-111.92452,https://www.google.com/maps/place/Optical+Expressions/data=!4m2!3m1!1s0x872b1240b85c4daf:0xabe4faa5588dee40
Eye Boutique of Sedona,"100 Verde Valley School Rd #114, Sedona, AZ 86351, United States",34.7783203,-111.7641525,https://www.google.com/maps/place/Eye+Boutique+of+Sedona/data=!4m2!3m1!1s0x872da606d1ee8b25:0xb6af592f1a5cc684
Highline Eye Care & Optical,"1600 W University Ave Ste 105, Flagstaff, AZ 86001, United States",35.1840585,-111.675098,https://www.google.com/maps/place/Highline+Eye+Care+%26+Optical/data=!4m2!3m1!1s0x872d850863ca5031:0x4473c7717bc9e1ca
Yavapai Eye Care,"7763 Florentine Rd, Prescott Valley, AZ 86314, United States",34.5879419,-112.3298222,https://www.google.com/maps/place/Yavapai+Eye+Care/data=!4m2!3m1!1s0x872d23a483cfe407:0xe92746180fb2783d
Falcon Family Eye Care,"1100 S Dobson Rd #103, Chandler, AZ 85286, United States",33.2898606,-111.8767745,https://www.google.com/maps/place/Falcon+Family+Eye+Care/data=!4m2!3m1!1s0x872b00be47f6a217:0xcabdd60881904198
Riviera Opticare,"555 N Gilbert Rd #101, Mesa, AZ 85203, United States",33.4256103,-111.7877231,https://www.google.com/maps/place/Riviera+Opticare/data=!4m2!3m1!1s0x872ba63db44f9395:0xd2c72689bfcbdb46
Mountainview Vision Center,"1701 Stockton Hill Rd D, Kingman, AZ 86401, United States",35.2033719,-114.0345212,https://www.google.com/maps/place/Mountainview+Vision+Center/data=!4m2!3m1!1s0x80cdddc9cb3a4081:0xa4d289fb9500d5d8
Cochise Eye & Laser,"2445 E Wilcox Dr, Sierra Vista, AZ 85635, United States",31.5523836,-110.2739824,https://www.google.com/maps/place/Cochise+Eye+%26+Laser/data=!4m2!3m1!1s0x86d702915bc6b36f:0xe3caab38807e18c5
Fashion Eye Center - Oracle,"7111 N Oracle Rd #4224, Tucson, AZ 85704, United States",32.3359648,-110.9780253,https://www.google.com/maps/place/Fashion+Eye+Center+-+Oracle/data=!4m2!3m1!1s0x86d673412a603da5:0x6f8ed9af60dcff8
Fashion Eye Center - Broadway,"6159 E Broadway Blvd, Tucson, AZ 85711, United States",32.2219514,-110.8606417,https://www.google.com/maps/place/Fashion+Eye+Center+-+Broadway/data=!4m2!3m1!1s0x86d66fa1f3443d4b:0x2174bf81d6ee9c58
Accent on Vision,"6843 N Oracle Rd STE 151, Tucson, AZ 85704, United States",32.3308426,-110.9783521,https://www.google.com/maps/place/Accent+on+Vision/data=!4m2!3m1!1s0x86d6734031b3bb93:0xd4b6ec3f0ab820d3
Eye Associates of Tucson,"5240 E Knight Dr #104, Tucson, AZ 85712, United States",32.2486796,-110.881076,https://www.google.com/maps/place/Eye+Associates+of+Tucson/data=!4m2!3m1!1s0x86d66e37932aeebf:0xef8afdc86a842e07
"Edmonds, Husz & Pemberton Eye Center","4730 E Pima St, Tucson, AZ 85712, United States",32.2431988,-110.8915623,"https://www.google.com/maps/place/Edmonds,+Husz+%26+Pemberton+Eye+Center/data=!4m2!3m1!1s0x86d66e2e18cc0137:0xf9de4434660dc4ed"
Eye & Cosmetic Surgery,"6130 N La Cholla Blvd # 245, Tucson, AZ 85741, United States",32.3180854,-111.0109454,https://www.google.com/maps/place/Eye+%26+Cosmetic+Surgery/data=!4m2!3m1!1s0x80c8c320680c4569:0x8001bdb78a07bb94
Desert Family Eye Care,"1110 N El Dorado Pl, Tucson, AZ 85715, United States",32.2360464,-110.854945,https://www.google.com/maps/place/Desert+Family+Eye+Care/data=!4m2!3m1!1s0x872b07552b27bf4d:0xcf576c435bbf153a
Eye Care Professionals,"1303 E University Blvd # 241, Tucson, AZ 85719, United States",32.2325726,-110.9520943,https://www.google.com/maps/place/Eye+Care+Professionals/data=!4m2!3m1!1s0x872b0078eddde4cb:0x4398d01f6c3ce981
Sonoran Desert Eye Care,"2211 E Pecos Rd #1, Chandler, AZ 85225, United States",33.2913784,-111.8036496,https://www.google.com/maps/place/Sonoran+Desert+Eye+Care/data=!4m2!3m1!1s0x872babb206bdd5bb:0x5091d88b888ce64e
The Eye Shop,"21321 E Ocotillo Rd #105, Queen Creek, AZ 85142, United States",33.2480285,-111.623924,https://www.google.com/maps/place/The+Eye+Shop/data=!4m2!3m1!1s0x872a4d1f15010151:0x265e755f12599021
Premier Eyecare of AZ,"3271 E Queen Creek Rd STE 107, Gilbert, AZ 85298, United States",33.2618131,-111.7190428,https://www.google.com/maps/place/Premier+Eyecare+of+AZ/data=!4m2!3m1!1s0x872bacd725476879:0xda89ee121bb66df3
Arizona Primary Eye Care,"4413 E Broadway Blvd, Tucson, AZ 85711, United States",32.2218648,-110.898065,https://www.google.com/maps/place/Arizona+Primary+Eye+Care/data=!4m2!3m1!1s0x86d66ee49f7faa69:0xb32a5cd755597b90
Nevada Eye Care West - an NVISION Eye Center,"7730 W Cheyenne Ave #103, Las Vegas, NV 89129, United States",36.219035,-115.2634772,https://www.google.com/maps/place/Nevada+Eye+Care+West+-+an+NVISION+Eye+Center/data=!4m2!3m1!1s0x80c8eabc31970211:0x292dcd72cb501aff
